ind_id	tissue	score	n_genes_with_expr	contrast	tissue_shuffled
C0026603	Cervix - Ectocervix	6.642051692927977	1	3.786484124968711	Esophagus - Muscularis
C0346993	Pituitary	5.977546363317923	6	2.1276214207003226	Brain - Putamen (basal ganglia)
C0024537	Lung	4.329845390799213	26	1.4565002086906027	Artery - Tibial
C0008513	Whole Blood	4.6471143186461115	9	1.6142342428126075	Liver
C0037299	Lung	4.028077687503698	39	1.3861545667115815	Lung
C0040560	Vagina	4.291704063921238	10	1.0695941194363838	Bladder
C0751434	Liver	5.1621984108181165	16	1.097153947534669	Brain - Hypothalamus
C0005684	Lung	3.869096982740458	1212	0.6675184531729377	Brain - Frontal Cortex (BA9)
C0033246	Nerve - Tibial	4.978702589454058	7	1.60806774850797	Liver
C0026961	Artery - Coronary	4.264197173564965	5	1.064852668359451	Nerve - Tibial
C0020550	Adipose - Subcutaneous	3.4768609549809044	106	0.7449990464302414	Nerve - Tibial
C0018213	Lung	3.848470611252439	295	0.9720970513659628	Thyroid
C0038525	Lung	3.949305067112988	237	0.8107869435626278	Pancreas
C0027430	Lung	3.8735580862140693	181	1.208258295823316	Brain - Putamen (basal ganglia)
C0153685	Cells - EBV-transformed lymphocytes	6.983944152753841	2	2.1943125787647677	Artery - Tibial
C0025874	Cells - Cultured fibroblasts	5.248777693649712	1	2.7955664374110474	Kidney - Cortex
C0232940	Adrenal Gland	3.3858971937112083	7	1.525476968190962	Testis
C0007134	Lung	4.0819286971641615	1157	0.737523927188612	Vagina
C2239176	Lung	3.983975352993081	2594	0.6505534733074483	Brain - Cortex
